1994|Ed1|pouliquen1994rp-1|Propagating holmboe waves at the interface between two immiscible fluids|Aupouliquen Auchomaz Auhuerre|Stpub|266|277|302|Rsno|Pppd|Dr6||
1998|Ed1|billant1998rp-1|Experimental study of vortex breakdown in swirling jets|Aubillant Auchomaz Auhuerre|Stpub|376|183|219|Rsno|Pppd|Dr1||
2000|Ed1|billant2000rp-1|Experimental evidence for a new instability of a vertical columnar vortex pair in a strongly stratified fluid|Aubillant Auchomaz|Stpub|418|167|188|Rsno|Pppd|Dr4||
2000|Ed1|billant2000rp-2|Theoretical analysis of the zigzag instability of a vertical columnar vortex pair in a strongly stratified fluid|Aubillant Auchomaz|Stpub|419|29|63|Rsno|Pppd|Dr4||
2000|Ed1|billant2000rp-3|Three-dimensional stability of a vertical columnar vortex pair in a stratified fluid|Aubillant Auchomaz|Stpub|419|65|91|Rsno|Pppd|Dr4||
2003|Ed1|chomaz2003rp-1|Fully nonlinear dynamics of parallel wakes|Auchomaz|Stpub|495|57|75|Rsno|Pppd|Dr3||
2006|Ed1|billant2006rp-1|Bending and twisting instabilities of columnar elliptical vortices in a rotating strongly stratified fluid|Aubillant Audritschel Auchomaz|Stpub|561|73|102|Rsno|Pppd|Dr4||
1992|Ed6|chomaz1992rp-1|Absolute and convective instability in non linear systems|Auchomaz|Stpub|69|1931|1934|Rsno|Pppd|Dr3||
1992|Ed6|pouliquen1992rp-1|Wave-number selection and phase solitons in spatially forced temporal mixing layers|Aupouliquen Auchomaz Auhuerre Autabeling|Stpub|68|2596|2599|Rsno|Pppd|Dr6||
1991|Ed3|chomaz1991rp-1|A frequency selection criterion in spatially developing flows|Auchomaz Auhuerre Auredekopp|Stpub|84|119|144|Rsno|Pppd|Dr3||
1993|Ed8|chomaz1993rp-1|Non linear stability of slender accretion disks by bifurcation method|Audubrulle Auchomaz Aukumar Aurieutord|Stpub|70|235|251|Rsno|Pppd|Dr11||
1993|Ed7|chomaz1993rp-4|Vertical diffusion of the far wake of a sphere moving in a stratified fluid|Auchomaz Aubonneton Aubutet Auhopfinger|Stpub|5&#40;11&#41;|2799|2806|Rsno|Pppd|Dr4||
1996|Ed16|chomaz1996rp-1|The structure of the turbulent wake and the random internal wave field generated by a moving sphere in a stratified fluid|Aubonneton Auchomaz Auhopfinger Auperrier|Stpub|23|289|298|Rsno|Pppd|Dr4||
1997|Ed6|brancher1997rp-1|Absolute and convective instabilities in spatially periodic shear flows|Aubrancher Auchomaz|Stpub|78|658|661|Rsno|Pppd|Dr3||
2000|Ed6|chomaz2000rp-2|Propagating pattern selection and causality reconsidered|Auchomaz Aucouairon|Stpub|84|1910|1913|Rsno|Pppd|Dr3||
2003|Ed1|brandt2003rp-1|On the convectively unstable nature of optimal streaks in boundary layers|Aubrandt Aucossu Auchomaz Auhuerre Auhenningson|Stpub|485|221|242|Rsno|Pppd|Dr10|Kw1 Kw8 Kw6|
2004|Ed31|chomaz2004rp-1|Transition to turbulence in open flows &#58; what linear and fully nonlinear local and global theories tell us|Auchomaz|Stpub|23|385|399|Rsno|Pppd|Dr3||
2006|Ed1|chomaz2006rp-1|Elliptic and zigzag instability on co-rotating vertical vortices in a stratified fluid-linear stability analysis|Auotheguy Auchomaz Aubillant|Stpub|553|253|272|Rsno|Pppd|Dr4||
2006|Ed1|otheguy2006rp-1|The effect of planetary rotation on the zigzag instability of co-rotating vortices in a stratified fluid|Auotheguy Aubillant Auchomaz|Stpub|553|273|281|Rsno|Pppd|Dr4||
2006|Ed1|salsac2006rp-1|Evolution of the wall shear stresses during the progressive enlargement of symmetric abdominal aortic aneurysms|Ausalsac Ausparks Auchomaz Aulasheras|Stpub|560|19|51|Rsno|Pppd|Dr13||
1996|Ed22|sellier1996rp-3|Asymptotic expansion of a class of multi-dimensional integrals|Ausellier|Stpub|48|1079|1090|Rsno|Pppd|Dr11||
1996|Ed4|sellier1996rp-2|Solution approch&#233;e du probl&#232;me non portant des corps &#233;lanc&#233;s par une formulation int&#233;grale|Ausellier|Stpub|323|645|652|Rsno|Pppd|Dr11||
1996|Ed4|sellier1996rp-1|Une approche int&#233;grale de la th&#233;orie des profils minces|Ausellier|Stpub|322|809|815|Rsno|Pppd|Dr11||
1995|Ed15|sellier1995rp-1|An alternative method to expand a double integral|Ausellier|Stpub|194|741|762|Rsno|Pppd|Dr11||
1996|Ed21|sellier1996rp-4|Application of the Hadamard&#39;s finite part concept to the asymptotic expansion of a class of multi-dimensional integrals|Ausellier|Stpub|354|1195|1246|Rsno|Pppd|Dr11||
1996|Ed23|sellier1996rp-5|Asymptotic expansion of a general integral|Ausellier|Stpub|452|2655|2690|Rsno|Pppd|Dr11||
1997|Ed27|sellier1997rp-2|Asymptotic behavior of a class of singular Fourier integrals|Ausellier|Stpub|121|359|384|Rsno|Pppd|Dr11||
2001|Ed4|sellier2001rp-3|On boundary effects in electrophoresis|Ausellier|Stpub|329|565|570|Rsno|Pppd|Dr7||
2002|Ed41|sellier2002rp-2|Electrophoretic motion of two solid particles embedded in an unbounded and viscous electrolyte|Ausellier|Stpub|28|202|211|Rsno|Pppd|Dr7||
2003|Ed40|sellier2003rp-3|Electrophoresis of a 2-particle cluster near a plane boundary|Ausellier|Stpub|331&#40;6&#41;|401|406|Rsno|Pppd|Dr7||
2003|Ed40|sellier2003rp-4|On particle-particle interactions in solid and non-conducting impurities removal|Ausellier|Stpub|331|753|758|Rsno|Pppd|Dr7||
2003|Ed50|sellier2003rp-5|On the low-Reynolds number motion of a non-conducting particle in uniform electric and magnetic fields|Ausellier|Stpub|39&#40;3&#41;|259|265|Rsno|Pppd|Dr7||
2003|Ed40|sellier2003rp-1|Migration d&#146;une particule elliposidale conductrice sous l&#146;action d&#146;un champ &#233;lectromagn&#233;tique uniforme|Ausellier|Stpub|331&#40;2&#41;|127|132|Rsno|Pppd|Dr7||
2004|Ed40|sellier2004rp-5|On the slow gravity-driven migration of arbitrary clusters of small solid particles|Ausellier|Stpub|332&#40;12&#41;|987|992|Rsno|Pppd|Dr7||
2005|Ed40|sellier2005rp-4|Settling motion of interacting solid particles in the vicinity of a plane solid boundary|Ausellier|Stpub|333|413|418|Rsno|Pppd|Dr7||
2005|Ed40|sellier2005rp-6|Thermocapillary motion of a two-bubble cluster near a plane solid wall|Ausellier|Stpub|333|636|641|Rsno|Pppd|Dr7||
2005|Ed40|sellier2005rp-3|On the slow motion of a cluster of bubbles under the combined action of gravity and thermocapillarity|Ausellier|Stpub|333|111|116|Rsno|Pppd|Dr7||
2003|Ed1|sellier2003rp-2|Migration of an insulating particle under the action of uniform ambient electric and magnetic fields. Part 2. Boundary formulation and ellipsoidal particles|Ausellier|Stpub|488|335|353|Rsno|Pppd|Dr7||
2004|Ed1|sellier2004rp-4|On the capillary motion of arbitrary clusters of spherical bubbles. Part 1. General theory|Ausellier|Stpub|504|391|401|Rsno|Pppd|Dr7||
2002|Ed11|sellier2002rp-4|A note on the electrophoresis of uniformly charged particles|Ausellier|Stpub|55&#40;4&#41;|561|572|Rsno|Pppd|Dr7||
2002|Ed45|sellier2002rp-1|Electrophoresis of an insulating particle near a plane boundary|Ausellier|Stpub|125|187|191|Rsno|Pppd|Dr7||
